source,text,created_at,retweet_count,favorite_count,clean_text,year,month,day,year_month,day_of_week,hour_of_day,handle,word_count,trade_date,prev_change,change_pc,target,char_count,lemmas_token,lemmas_text,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,dominant_topic,compound_score,neg_score,neu_score,pos_score
Twitter for iPhone,"Governor Andrew Cuomo of New York wants to put New York at the END of the Vaccine List in that he doesn’t trust the @FDA or Federal Government, even though the Vaccines are being developed by the finest Labs in the World. Wish he trusted us on Nursing Homes!",2020-09-25 17:58:06-04:00,31686.0,120139.0,governor andrew cuomo of new york wants to put new york at the end of the vaccine list in that he doesn t trust the or federal government even though the vaccines are being developed by the finest labs in the world wish he trusted us on nursing homes,2020,9,25,2020-09,4,17,@FDA,49,2020-09-26,0.01616695826893344,0.016609347541438838,1,250,"['governor', 'andrew', 'cuomo', 'york', 'want', 'york', 'end', 'vaccine', 'list', 'doesn', 't', 'trust', 'federal', 'government', 'vaccine', 'develop', 'fine', 'lab', 'world', 'wish', 'trust', 'nursing', 'home']",governor andrew cuomo york want york end vaccine list doesn t trust federal government vaccine develop fine lab world wish trust nursing home,0.259,0.7120000000000001,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,trade,0.8553,0.0,0.83,0.17
Twitter for iPhone,"Just had a great #LatinosForTrump Roundtable in Doral, Florida. We have achieved more for Hispanic-Americans in less than 47 months than Joe Biden has achieved in 47 years — and the best is yet to come. Thank you! #MAGA  
https://t.co/OITaFw99Er",2020-09-25 13:03:53-04:00,17431.0,65283.0,just had a great latinosfortrump roundtable in doral florida we have achieved more for hispanic americans in less than 47 months than joe biden has achieved in 47 years and the best is yet to come thank you maga,2020,9,25,2020-09,4,13,,39,2020-09-26,0.01616695826893344,0.016609347541438838,1,211,"['latinosfortrump', 'roundtable', 'doral', 'florida', 'achieve', 'hispanic', 'american', 'month', 'joe', 'biden', 'achieve', 'year', 'good', 'come', 'maga']",latinosfortrump roundtable doral florida achieve hispanic american month joe biden achieve year good come maga,0.01,0.445,0.207,0.18600000000000005,0.011,0.14,trade,0.902,0.0,0.769,0.231
Twitter for iPhone,"We are providing better care, and more choice, at lower cost. We are delivering a healthier, safer, brighter, and more prosperous future for EVERY citizen in our magnificent land – because we are proudly putting AMERICA FIRST! https://t.co/DgeDlpizk1",2020-09-24 19:07:06-04:00,9956.0,36130.0,we are providing better care and more choice at lower cost we are delivering a healthier safer brighter and more prosperous future for every citizen in our magnificent land because we are proudly putting america first,2020,9,24,2020-09,3,19,,36,2020-09-25,0.002665462930876661,0.01616695826893344,1,217,"['provide', 'well', 'care', 'choice', 'low', 'cost', 'deliver', 'healthy', 'safe', 'bright', 'prosperous', 'future', 'citizen', 'magnificent', 'land', 'proudly', 'put']",provide well care choice low cost deliver healthy safe bright prosperous future citizen magnificent land proudly put,0.009000000000000001,0.5,0.009000000000000001,0.265,0.207,0.009000000000000001,trade,0.9649,0.045,0.544,0.41100000000000003
Twitter for iPhone,The FINAL PILLAR of the America First Healthcare Plan—better care! The historic action I took today includes the first-ever executive order to affirm it is the official policy of the United States Government to protect patients with pre-existing conditions.https://t.co/9EzYwHydwQ,2020-09-24 18:54:14-04:00,6351.0,21271.0,the final pillar of the america first healthcare plan better care the historic action i took today includes the first ever executive order to affirm it is the official policy of the united states government to protect patients with pre existing conditions,2020,9,24,2020-09,3,18,,42,2020-09-25,0.002665462930876661,0.01616695826893344,1,255,"['final', 'pillar', 'healthcare', 'plan', 'better', 'care', 'historic', 'action', 'take', 'include', 'executive', 'order', 'affirm', 'official', 'policy', 'united', 'state', 'government', 'protect', 'patient', 'pre', 'existing', 'condition']",final pillar healthcare plan better care historic action take include executive order affirm official policy united state government protect patient pre existing condition,0.006999999999999999,0.965,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,trade,0.8356,0.0,0.802,0.198
Twitter for iPhone,"Under The America First Healthcare Plan, we will ensure the highest standard of care anywhere in the world — cutting-edge treatments, state-of-the-art medicine, groundbreaking cures, and true health security for you and your loved ones! https://t.co/H64XPD183Y",2020-09-24 18:36:20-04:00,10563.0,38131.0,under the america first healthcare plan we will ensure the highest standard of care anywhere in the world cutting edge treatments state of the art medicine groundbreaking cures and true health security for you and your loved ones,2020,9,24,2020-09,3,18,,38,2020-09-25,0.002665462930876661,0.01616695826893344,1,229,"['healthcare', 'plan', 'ensure', 'high', 'standard', 'care', 'world', 'cut', 'edge', 'treatment', 'state', 'art', 'medicine', 'groundbreake', 'cure', 'true', 'health', 'security', 'love', 'one']",healthcare plan ensure high standard care world cut edge treatment state art medicine groundbreake cure true health security love one,0.008,0.557,0.008,0.196,0.222,0.008,trade,0.9348,0.0,0.6709999999999999,0.32899999999999996
Twitter for iPhone,"It was great to be back in North Carolina delivering The America First Healthcare Plan! We will provide MORE CHOICES, LOWER COSTS, and BETTER CARE! 
https://t.co/dGegvPWm9P",2020-09-24 18:23:23-04:00,9151.0,34805.0,it was great to be back in north carolina delivering the america first healthcare plan we will provide more choices lower costs and better care,2020,9,24,2020-09,3,18,,25,2020-09-25,0.002665462930876661,0.01616695826893344,1,143,"['north', 'carolina', 'deliver', 'healthcare', 'plan', 'provide', 'choice', 'low', 'cost', 'well', 'care']",north carolina deliver healthcare plan provide choice low cost well care,0.014,0.608,0.014,0.014,0.222,0.128,trade,0.8535,0.102,0.5770000000000001,0.321
Twitter for iPhone,"White House News Conference today at 6:00 P.M. Economy, Job gains and Vaccine development are all doing GREAT!",2020-09-23 09:21:10-04:00,21078.0,104911.0,white house news conference today at 6 00 p m economy job gains and vaccine development are all doing great,2020,9,23,2020-09,2,9,,20,2020-09-24,-0.023190957548566368,0.002665462930876661,1,107,"['white', 'house', 'conference', 'p', 'm', 'economy', 'job', 'gain', 'vaccine', 'development']",white house conference p m economy job gain vaccine development,0.019,0.425,0.35100000000000003,0.019,0.168,0.019,trade,0.8188,0.0,0.68,0.32
Twitter for iPhone,Big news. Numerous great companies are seeing fantastic results. @FDA must move quickly! https://t.co/2pDrmRPOxc,2020-09-23 08:08:53-04:00,8579.0,35466.0,big news numerous great companies are seeing fantastic results must move quickly,2020,9,23,2020-09,2,8,@FDA,12,2020-09-24,-0.023190957548566368,0.002665462930876661,1,80,"['numerous', 'company', 'see', 'fantastic', 'result', 'quickly']",numerous company see fantastic result quickly,0.024,0.7170000000000001,0.024,0.024,0.024,0.187,trade,0.8398,0.0,0.6,0.4
Twitter for iPhone,"A few weeks ago, I BANNED efforts to indoctrinate government employees with divisive and harmful sex and race-based ideologies. Today, I've expanded that ban to people and companies that do business...",2020-09-22 18:53:22-04:00,39876.0,164970.0,a few weeks ago i banned efforts to indoctrinate government employees with divisive and harmful sex and race based ideologies today i ve expanded that ban to people and companies that do business,2020,9,22,2020-09,1,18,,33,2020-09-23,0.01018438079889794,-0.023190957548566368,0,195,"['week', 'ago', 'ban', 'effort', 'indoctrinate', 'government', 'employee', 'divisive', 'harmful', 'sex', 'race', 'base', 'ideology', 've', 'expand', 'ban', 'company', 'business']",week ago ban effort indoctrinate government employee divisive harmful sex race base ideology ve expand ban company business,0.009000000000000001,0.956,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,trade,-0.8668,0.258,0.742,0.0
Twitter for iPhone,"...dollar tax hike, ban American Energy, confiscate your guns, shutdown the economy, destroy the suburbs, erase your borders, and indoctrinate your children with poisonous anti-American lies. https://t.co/WwzdPhlJcp",2020-09-17 23:28:44-04:00,8532.0,29851.0,dollar tax hike ban american energy confiscate your guns shutdown the economy destroy the suburbs erase your borders and indoctrinate your children with poisonous anti american lies,2020,9,17,2020-09,3,23,,27,2020-09-18,-0.008795262789779712,-0.015453793657143831,0,181,"['dollar', 'tax', 'hike', 'ban', 'energy', 'confiscate', 'gun', 'shutdown', 'economy', 'destroy', 'suburb', 'erase', 'border', 'indoctrinate', 'child', 'poisonous', 'anti', 'lie']",dollar tax hike ban energy confiscate gun shutdown economy destroy suburb erase border indoctrinate child poisonous anti lie,0.009000000000000001,0.629,0.336,0.009000000000000001,0.009000000000000001,0.009000000000000001,trade,-0.9313,0.409,0.537,0.054000000000000006
Twitter for iPhone,"RT @stacey_rudin: Huge news: the federal courts are coming to save us!! 

“Stay at home” orders and limitations on businesses are UNCONSTIT…",2020-09-14 17:08:18-04:00,6854.0,0.0,rt huge news the federal courts are coming to save us stay at home orders and limitations on businesses are unconstit,2020,9,14,2020-09,0,17,@stacey_rudin,21,2020-09-15,0.013171265719758464,0.005052360826895974,1,117,"['huge', 'federal', 'court', 'come', 'save', 'stay', 'home', 'order', 'limitation', 'business', 'unconstit']",huge federal court come save stay home order limitation business unconstit,0.127,0.8170000000000001,0.014,0.014,0.014,0.014,trade,0.7256,0.0,0.767,0.233
Twitter for iPhone,"Great, Just Out! 51% Approval Rating in Rasmussen Poll. 95% in Republican Party. Stock Market up BIG today. Will I ever be given credit for the Markets and Economy? Next year will be BIG!",2020-09-14 10:21:47-04:00,29960.0,141966.0,great just out 51 approval rating in rasmussen poll 95 in republican party stock market up big today will i ever be given credit for the markets and economy next year will be big,2020,9,14,2020-09,0,10,,34,2020-09-15,0.013171265719758464,0.005052360826895974,1,178,"['approval', 'rating', 'rasmussen', 'poll', 'republican', 'party', 'stock', 'market', 'give', 'credit', 'market', 'economy', 'year']",approval rating rasmussen poll republican party stock market give credit market economy year,0.012,0.518,0.012,0.012,0.434,0.012,trade,0.9199,0.0,0.696,0.304
Twitter for iPhone,"...And we’re not finished yet. All coming together like a highly complex, but beautiful, puzzle! https://t.co/3MRItgdhtk",2020-09-14 09:08:07-04:00,9228.0,35816.0,and we re not finished yet all coming together like a highly complex but beautiful puzzle,2020,9,14,2020-09,0,9,,16,2020-09-15,0.013171265719758464,0.005052360826895974,1,89,"['finish', 'come', 'highly', 'complex', 'beautiful', 'puzzle']",finish come highly complex beautiful puzzle,0.024,0.88,0.024,0.024,0.024,0.024,trade,0.8311,0.0,0.643,0.35700000000000004
Twitter for iPhone,"RT @LouDobbs: Thanks for your kind words Rudy, and for all you've done for the nation and @POTUS! #MAGA #AmericaFirst",2020-09-14 01:47:13-04:00,4971.0,0.0,rt thanks for your kind words rudy and for all you ve done for the nation and maga americafirst,2020,9,14,2020-09,0,1,@LouDobbs,19,2020-09-15,0.013171265719758464,0.005052360826895974,1,95,"['thank', 'kind', 'word', 'rudy', 've', 'nation', 'maga', 'americafirst']",thank kind word rudy ve nation maga americafirst,0.019,0.473,0.019,0.29100000000000004,0.019,0.18,trade,0.7644,0.0,0.732,0.268
Twitter for iPhone,"I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the future belongs to AMERICA—NOT China. If we win, AMERICA WINS! If Biden wins, China wins. If Biden Wins, the rioters, anarchists, and arsonists win. VOTE! #MAGA",2020-09-13 00:49:55-04:00,34475.0,135835.0,i am running for re election to bring prosperity to nevada to put violent criminals behind bars and to ensure the future belongs to america not china if we win america wins if biden wins china wins if biden wins the rioters anarchists and arsonists win vote maga,2020,9,13,2020-09,6,0,,48,2020-09-14,0.0005090987821243509,0.013171265719758464,1,262,"['run', 'election', 'bring', 'prosperity', 'nevada', 'violent', 'criminal', 'bar', 'ensure', 'future', 'belong', 'china', 'win', 'win', 'biden', 'win', 'china', 'win', 'biden', 'win', 'rioter', 'anarchist', 'arsonist', 'win', 'vote', 'maga']",run election bring prosperity nevada violent criminal bar ensure future belong china win win biden win china win biden win rioter anarchist arsonist win vote maga,0.006,0.366,0.301,0.006,0.006,0.315,trade,0.9624,0.107,0.522,0.371
Twitter for iPhone,"RT @LindseyGrahamSC: This agreement sets the Middle East on a new course of cooperation and economic integration.

Well done President @rea…",2020-09-12 18:00:28-04:00,5044.0,0.0,rt this agreement sets the middle east on a new course of cooperation and economic integration well done president,2020,9,12,2020-09,5,18,@LindseyGrahamSC,19,2020-09-13,0.0005090987821243509,0.013171265719758464,1,114,"['agreement', 'set', 'middle', 'east', 'course', 'cooperation', 'economic', 'integration']",agreement set middle east course cooperation economic integration,0.019,0.907,0.019,0.019,0.019,0.019,trade,0.705,0.0,0.765,0.235
Twitter for iPhone,"Subject only to State approval, our important Ethanol Industry will be allowed to use the 10% Pumps for the 15% BLEND. Thank you! @SenJoniErnst @ChuckGrassley @SenatorFischer @SenJohnThune @SenatorRounds   @KimReynoldsIA @EPAAWheeler @SecretarySonny @govkristinoem",2020-09-12 10:20:51-04:00,9926.0,40286.0,subject only to state approval our important ethanol industry will be allowed to use the 10 pumps for the 15 blend thank you,2020,9,12,2020-09,5,10,@SenJoniErnst,23,2020-09-13,0.0005090987821243509,0.013171265719758464,1,124,"['subject', 'state', 'approval', 'important', 'ethanol', 'industry', 'allow', 'use', 'pump', 'blend']",subject state approval important ethanol industry allow use pump blend,0.015,0.789,0.015,0.015,0.15,0.015,trade,0.7712,0.0,0.79,0.21
Twitter for iPhone,Congratulations to JPMorgan Chase for ordering everyone BACK TO OFFICE on September 21st. Will always be better than working from home!,2020-09-11 06:13:04-04:00,28253.0,165556.0,congratulations to jpmorgan chase for ordering everyone back to office on september 21st will always be better than working from home,2020,9,11,2020-09,4,6,,21,2020-09-12,0.0005090987821243509,0.013171265719758464,1,133,"['congratulation', 'jpmorgan', 'chase', 'order', 'office', 'september', '21st', 'well', 'work', 'home']",congratulation jpmorgan chase order office september 21st well work home,0.015,0.78,0.015,0.015,0.015,0.159,trade,0.7959,0.0,0.728,0.272
Twitter for iPhone,"When we win I, as your President, will totally forgive ALL deferred payroll taxes with money from the General Fund. I will ALWAYS protect Seniors and your Social Security! Sleepy Joe Biden will do the opposite, he will raise your taxes and DESTROY our Country!",2020-09-10 21:47:55-04:00,42981.0,166833.0,when we win i as your president will totally forgive all deferred payroll taxes with money from the general fund i will always protect seniors and your social security sleepy joe biden will do the opposite he will raise your taxes and destroy our country,2020,9,10,2020-09,3,21,,45,2020-09-11,-0.017363647675703087,0.0005090987821243509,1,254,"['win', 'totally', 'forgive', 'defer', 'payroll', 'taxis', 'money', 'general', 'fund', 'protect', 'senior', 'social', 'security', 'sleepy', 'joe', 'biden', 'opposite', 'raise', 'taxis', 'destroy', 'country']",win totally forgive defer payroll taxis money general fund protect senior social security sleepy joe biden opposite raise taxis destroy country,0.008,0.56,0.41,0.008,0.008,0.008,trade,0.7611,0.076,0.7140000000000001,0.21
Twitter for iPhone,New Mexico will only be GREAT with President Trump. We will win! https://t.co/GOmS629dxF,2020-09-10 08:57:40-04:00,9546.0,37482.0,new mexico will only be great with president trump we will win,2020,9,10,2020-09,3,8,,12,2020-09-11,-0.017363647675703087,0.0005090987821243509,1,62,"['mexico', 'win']",mexico win,0.056,0.72,0.056,0.056,0.056,0.057,trade,0.8728,0.0,0.552,0.44799999999999995
Twitter for iPhone,"My Campaign spent a lot of money up front in order to compensate for the false reporting and Fake News concerning our handling of the China Virus. Now they see the GREAT job we have done, and we have 3 times more than we had 4 years ago - &amp; are up in polls. Lots of $’s &amp; ENERGY!",2020-09-08 09:21:40-04:00,18757.0,82167.0,my campaign spent a lot of money up front in order to compensate for the false reporting and fake news concerning our handling of the china virus now they see the great job we have done and we have 3 times more than we had 4 years ago are up in polls lots of s energy,2020,9,8,2020-09,1,9,,56,2020-09-09,-0.027322929061912804,0.019747361056769767,1,267,"['campaign', 'spend', 'lot', 'money', 'order', 'compensate', 'false', 'reporting', 'concern', 'handling', 'china', 'virus', 'job', 'time', 'year', 'ago', 'poll', 'lot', 's', 'energy']",campaign spend lot money order compensate false reporting concern handling china virus job time year ago poll lot s energy,0.481,0.485,0.008,0.008,0.008,0.008,trade,0.7057,0.046,0.835,0.11900000000000001
Twitter for iPhone,"RT @Surabees: It says everything about how broken the media is that after @JeffreyGoldberg helped lie this nation into the Iraq War, he was…",2020-09-06 21:01:32-04:00,9182.0,0.0,rt it says everything about how broken the media is that after helped lie this nation into the iraq war he was,2020,9,6,2020-09,6,21,@Surabees,22,2020-09-07,-0.008164706209008443,-0.027322929061912804,0,110,"['say', 'broken', 'medium', 'help', 'lie', 'nation', 'iraq', 'war']",say broken medium help lie nation iraq war,0.019,0.578,0.34700000000000003,0.019,0.019,0.019,trade,-0.7906,0.24100000000000002,0.759,0.0
Twitter for iPhone,"....Baltimore will turn around, and I will help. Crime will go way down, money and jobs will pour in. Life will be MUCH better because Kimberly really cares. The Dems have had 100 years and they gave you nothing but heartache. Baltimore is the WORST IN NATION, Kimberly will..",2020-09-06 06:29:07-04:00,13926.0,63063.0,baltimore will turn around and i will help crime will go way down money and jobs will pour in life will be much better because kimberly really cares the dems have had 100 years and they gave you nothing but heartache baltimore is the worst in nation kimberly will,2020,9,6,2020-09,6,6,,49,2020-09-07,-0.008164706209008443,-0.027322929061912804,0,263,"['baltimore', 'turn', 'help', 'crime', 'way', 'money', 'job', 'pour', 'life', 'well', 'kimberly', 'care', 'dem', 'year', 'give', 'heartache', 'baltimore', 'bad', 'nation', 'kimberly']",baltimore turn help crime way money job pour life well kimberly care dem year give heartache baltimore bad nation kimberly,0.008,0.96,0.008,0.008,0.008,0.008,trade,-0.723,0.153,0.746,0.10099999999999999
Twitter for iPhone,"You work so hard for the military, from completely rebuilding a depleted mess that was left by OBiden, to fixing a broken V.A. and fighting for large scale military pay raises, and then a slimeball reporter, maybe working with disgruntled people, makes up such a horrible charge..",2020-09-05 08:31:19-04:00,31761.0,135186.0,you work so hard for the military from completely rebuilding a depleted mess that was left by obiden to fixing a broken v a and fighting for large scale military pay raises and then a slimeball reporter maybe working with disgruntled people makes up such a horrible charge,2020,9,5,2020-09,5,8,,48,2020-09-06,-0.008164706209008443,-0.027322929061912804,0,272,"['work', 'hard', 'military', 'completely', 'rebuild', 'deplete', 'mess', 'leave', 'obiden', 'fix', 'break', 'v', 'fight', 'large', 'scale', 'military', 'pay', 'raise', 'slimeball', 'reporter', 'maybe', 'work', 'disgruntled', 'make', 'horrible', 'charge']",work hard military completely rebuild deplete mess leave obiden fix break v fight large scale military pay raise slimeball reporter maybe work disgruntled make horrible charge,0.006,0.968,0.006,0.006,0.006,0.006,trade,-0.9164,0.266,0.7340000000000001,0.0
Twitter for iPhone,RT @SharylAttkisson: 2-Trump's actions and talk of ending Afghan war and drawing down troops in Germany have not made him popular among the…,2020-09-04 23:54:27-04:00,4849.0,0.0,rt 2 trump s actions and talk of ending afghan war and drawing down troops in germany have not made him popular among the,2020,9,4,2020-09,4,23,@SharylAttkisson,24,2020-09-05,-0.008164706209008443,-0.027322929061912804,0,121,"['s', 'action', 'talk', 'end', 'afghan', 'war', 'draw', 'troop', 'germany', 'popular']",s action talk end afghan war draw troop germany popular,0.017,0.916,0.017,0.017,0.017,0.017,trade,-0.7377,0.22899999999999998,0.7709999999999999,0.0
Twitter for iPhone,"I was never a big fan of John McCain, disagreed with him on many things including ridiculous endless wars and the lack of success he had in dealing with the VA and our great Vets, but the lowering of our Nations American Flags, and the first class funeral he was given by our....",2020-09-03 22:36:58-04:00,24015.0,113725.0,i was never a big fan of john mccain disagreed with him on many things including ridiculous endless wars and the lack of success he had in dealing with the va and our great vets but the lowering of our nations american flags and the first class funeral he was given by our,2020,9,3,2020-09,3,22,,53,2020-09-04,-0.03441430412923785,-0.008164706209008443,0,272,"['fan', 'john', 'mccain', 'disagree', 'thing', 'include', 'ridiculous', 'endless', 'war', 'lack', 'success', 'deal', 'va', 'vet', 'lowering', 'nation', 'flag', 'class', 'funeral', 'give']",fan john mccain disagree thing include ridiculous endless war lack success deal va vet lowering nation flag class funeral give,0.008,0.515,0.008,0.293,0.008,0.16899999999999998,trade,-0.7705,0.23,0.693,0.077
